video_name,tag,movie,shot
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt0444850_0014.mp4,Static,tt0444850,0014
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt0444850_0015.mp4,Static,tt0444850,0015
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt0444850_0016.mp4,Static,tt0444850,0016
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2005173_0002.mp4,Static,tt2005173,0002
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2005173_0014.mp4,Static,tt2005173,0014
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2005173_0022.mp4,Static,tt2005173,0022
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2005173_0042.mp4,Static,tt2005173,0042
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2005185_0014.mp4,Motion,tt2005185,0014
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2005185_0028.mp4,Pull,tt2005185,0028
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2005185_0029.mp4,Motion,tt2005185,0029
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2005185_0033.mp4,Static,tt2005185,0033
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2005185_0057.mp4,Static,tt2005185,0057
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2005185_0064.mp4,Motion,tt2005185,0064
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2005374_0011.mp4,Motion,tt2005374,0011
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2005374_0022.mp4,Motion,tt2005374,0022
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006040_0002.mp4,Static,tt2006040,0002
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006040_0006.mp4,Static,tt2006040,0006
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006040_0046.mp4,Motion,tt2006040,0046
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006040_0047.mp4,Motion,tt2006040,0047
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006040_0052.mp4,Static,tt2006040,0052
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006040_0054.mp4,Static,tt2006040,0054
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006802_0010.mp4,Static,tt2006802,0010
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006802_0011.mp4,Static,tt2006802,0011
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006810_0004.mp4,Static,tt2006810,0004
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006810_0008.mp4,Static,tt2006810,0008
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006810_0025.mp4,Motion,tt2006810,0025
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006810_0027.mp4,Static,tt2006810,0027
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006810_0038.mp4,Static,tt2006810,0038
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2007421_0009.mp4,Motion,tt2007421,0009
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2007421_0027.mp4,Motion,tt2007421,0027
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2007421_0041.mp4,Motion,tt2007421,0041
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2007421_0042.mp4,Static,tt2007421,0042
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2008513_0006.mp4,Motion,tt2008513,0006
