video_aug_name,tag
tt1376168_0034_aug_0.mp4,Pull
tt1376168_0034_aug_1.mp4,Pull
tt1376168_0034_aug_2.mp4,Pull
tt1376168_0034_aug_3.mp4,Pull
tt1376168_0034_aug_4.mp4,Pull
tt1376168_0034_aug_5.mp4,Pull
tt1376168_0034_aug_6.mp4,Pull
tt1376168_0034_aug_7.mp4,Pull
tt1376168_0034_aug_8.mp4,Pull
tt1376168_0034_aug_9.mp4,Pull
tt1828968_0050_aug_0.mp4,Push
tt1828968_0050_aug_1.mp4,Push
tt1828968_0050_aug_2.mp4,Push
tt1828968_0050_aug_3.mp4,Push
tt1828968_0050_aug_4.mp4,Push
tt1828968_0050_aug_5.mp4,Push
tt1828968_0050_aug_6.mp4,Push
tt1828968_0050_aug_7.mp4,Push
tt1828968_0050_aug_8.mp4,Push
tt1828968_0050_aug_9.mp4,Push
tt0108289_0022_aug_0.mp4,Push
tt0108289_0022_aug_1.mp4,Push
tt0108289_0022_aug_2.mp4,Push
tt0108289_0022_aug_3.mp4,Push
tt0108289_0022_aug_4.mp4,Push
tt0108289_0022_aug_5.mp4,Push
tt0108289_0022_aug_6.mp4,Push
tt0108289_0022_aug_7.mp4,Push
tt0108289_0022_aug_8.mp4,Push
tt0108289_0022_aug_9.mp4,Push
tt0108289_0042_aug_0.mp4,Push
tt0108289_0042_aug_1.mp4,Push
tt0108289_0042_aug_2.mp4,Push
tt0108289_0042_aug_3.mp4,Push
tt0108289_0042_aug_4.mp4,Push
tt0108289_0042_aug_5.mp4,Push
tt0108289_0042_aug_6.mp4,Push
tt0108289_0042_aug_7.mp4,Push
tt0108289_0042_aug_8.mp4,Push
tt0108289_0042_aug_9.mp4,Push
tt2349952_0053_aug_0.mp4,Pull
tt2349952_0053_aug_1.mp4,Pull
tt2349952_0053_aug_2.mp4,Pull
tt2349952_0053_aug_3.mp4,Pull
tt2349952_0053_aug_4.mp4,Pull
tt2349952_0053_aug_5.mp4,Pull
tt2349952_0053_aug_6.mp4,Pull
tt2349952_0053_aug_7.mp4,Pull
tt2349952_0053_aug_8.mp4,Pull
tt2349952_0053_aug_9.mp4,Pull
tt0069768_0011_aug_0.mp4,Pull
tt0069768_0011_aug_1.mp4,Pull
tt0069768_0011_aug_2.mp4,Pull
tt0069768_0011_aug_3.mp4,Pull
tt0069768_0011_aug_4.mp4,Pull
tt0069768_0011_aug_5.mp4,Pull
tt0069768_0011_aug_6.mp4,Pull
tt0069768_0011_aug_7.mp4,Pull
tt0069768_0011_aug_8.mp4,Pull
tt0069768_0011_aug_9.mp4,Pull
tt0063172_0036_aug_0.mp4,Pull
tt0063172_0036_aug_1.mp4,Pull
tt0063172_0036_aug_2.mp4,Pull
tt0063172_0036_aug_3.mp4,Pull
tt0063172_0036_aug_4.mp4,Pull
tt0063172_0036_aug_5.mp4,Pull
tt0063172_0036_aug_6.mp4,Pull
tt0063172_0036_aug_7.mp4,Pull
tt0063172_0036_aug_8.mp4,Pull
tt0063172_0036_aug_9.mp4,Pull
tt0080717_0072_aug_0.mp4,Pull
tt0080717_0072_aug_1.mp4,Pull
tt0080717_0072_aug_2.mp4,Pull
tt0080717_0072_aug_3.mp4,Pull
tt0080717_0072_aug_4.mp4,Pull
tt0080717_0072_aug_5.mp4,Pull
tt0080717_0072_aug_6.mp4,Pull
tt0080717_0072_aug_7.mp4,Pull
tt0080717_0072_aug_8.mp4,Pull
tt0080717_0072_aug_9.mp4,Pull
tt0173369_0135_aug_0.mp4,Push
tt0173369_0135_aug_1.mp4,Push
tt0173369_0135_aug_2.mp4,Push
tt0173369_0135_aug_3.mp4,Push
tt0173369_0135_aug_4.mp4,Push
tt0173369_0135_aug_5.mp4,Push
tt0173369_0135_aug_6.mp4,Push
tt0173369_0135_aug_7.mp4,Push
tt0173369_0135_aug_8.mp4,Push
tt0173369_0135_aug_9.mp4,Push
tt1461432_0049_aug_0.mp4,Pull
tt1461432_0049_aug_1.mp4,Pull
tt1461432_0049_aug_2.mp4,Pull
tt1461432_0049_aug_3.mp4,Pull
tt1461432_0049_aug_4.mp4,Pull
tt1461432_0049_aug_5.mp4,Pull
tt1461432_0049_aug_6.mp4,Pull
tt1461432_0049_aug_7.mp4,Pull
tt1461432_0049_aug_8.mp4,Pull
tt1461432_0049_aug_9.mp4,Pull
tt4175088_0054_aug_0.mp4,Push
tt4175088_0054_aug_1.mp4,Push
tt4175088_0054_aug_2.mp4,Push
