,video_name,move_label,tag
0,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt0444850_0014.mp4,Static,CS
1,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt0444850_0015.mp4,Static,CS
2,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt0444850_0016.mp4,Static,ECS
3,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2005173_0002.mp4,Static,MS
4,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2005173_0014.mp4,Static,CS
5,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2005173_0022.mp4,Static,MS
6,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2005173_0042.mp4,Static,FS
7,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2005185_0014.mp4,Motion,MS
8,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2005185_0028.mp4,Pull,MS
9,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2005185_0029.mp4,Motion,FS
10,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2005185_0033.mp4,Static,CS
11,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2005185_0057.mp4,Static,FS
12,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2005185_0064.mp4,Motion,MS
13,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2005374_0011.mp4,Motion,MS
14,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2005374_0022.mp4,Motion,LS
15,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006040_0002.mp4,Static,MS
16,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006040_0006.mp4,Static,MS
17,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006040_0046.mp4,Motion,MS
18,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006040_0047.mp4,Motion,ECS
19,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006040_0052.mp4,Static,FS
20,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006040_0054.mp4,Static,ECS
21,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006802_0010.mp4,Static,MS
22,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006802_0011.mp4,Static,MS
23,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006810_0004.mp4,Static,MS
24,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006810_0008.mp4,Static,MS
25,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006810_0025.mp4,Motion,FS
26,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006810_0027.mp4,Static,MS
27,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006810_0038.mp4,Static,FS
28,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2007421_0009.mp4,Motion,ECS
29,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2007421_0027.mp4,Motion,FS
30,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2007421_0041.mp4,Motion,CS
31,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2007421_0042.mp4,Static,ECS
32,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2008513_0006.mp4,Motion,FS
33,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2008513_0012.mp4,Static,ECS
34,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2008513_0025.mp4,Static,ECS
35,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2008513_0033.mp4,Static,CS
36,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2008513_0042.mp4,Motion,ECS
37,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2008513_0044.mp4,Static,MS
38,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2008513_0045.mp4,Static,FS
39,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2008513_0047.mp4,Motion,FS
