video_name,tag
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2967988_0026.mp4,Pull
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2112124_0006.mp4,Pull
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2100575_0007.mp4,Push
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2008513_0044.mp4,Static
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2215304_0043.mp4,Push
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2015474_0005.mp4,Static
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2018136_0016.mp4,Motion
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2061597_0015.mp4,Static
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2107861_0011.mp4,Push
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2050633_0055.mp4,Motion
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2091325_0068.mp4,Motion
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2011961_0083.mp4,Static
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2036408_0077.mp4,Static
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2374721_0000.mp4,Pull
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt4033834_0021.mp4,Pull
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2008655_0044.mp4,Static
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2046136_0008.mp4,Static
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2060489_0014.mp4,Push
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2450258_0090.mp4,Pull
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2714900_0042.mp4,Push
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2261331_0015.mp4,Push
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2938464_0055.mp4,Push
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2041331_0005.mp4,Static
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2040504_0028.mp4,Motion
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2071476_0064.mp4,Motion
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt3157466_0011.mp4,Push
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2024354_0068.mp4,Static
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2461132_0003.mp4,Push
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt5446858_0018.mp4,Pull
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2091947_0001.mp4,Motion
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2994788_0003.mp4,Push
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2505294_0087.mp4,Push
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2036401_0002.mp4,Static
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2023659_0029.mp4,Motion
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt5774012_0001.mp4,Pull
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt3019694_0082.mp4,Pull
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt3776826_0029.mp4,Pull
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2049636_0043.mp4,Motion
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2419284_0006.mp4,Push
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2547942_0043.mp4,Push
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2040504_0004.mp4,Motion
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2044729_0065.mp4,Motion
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2063874_0095.mp4,Static
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2069784_0007.mp4,Motion
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2043893_0033.mp4,Static
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2056659_0049.mp4,Motion
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2008655_0014.mp4,Motion
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2024469_0013.mp4,Static
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2450258_0066.mp4,Push
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2075172_0007.mp4,Pull
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2010939_0015.mp4,Static
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2042449_0025.mp4,Static
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2064731_0002.mp4,Static
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2100376_0005.mp4,Motion
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2404233_0038.mp4,Push
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2072236_0028.mp4,Motion
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2287170_0015.mp4,Push
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2933544_0020.mp4,Pull
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006040_0002.mp4,Static
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2327495_0008.mp4,Pull
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2671712_0013.mp4,Push
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2011961_0084.mp4,Motion
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2049448_0045.mp4,Pull
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2042449_0004.mp4,Static
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt3672840_0005.mp4,Pull
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2094787_0014.mp4,Motion
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2040537_0012.mp4,Push
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt3072636_0026.mp4,Push
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2015366_0046.mp4,Motion
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt4256544_0027.mp4,Pull
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2091947_0011.mp4,Motion
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2085829_0063.mp4,Motion
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2040367_0070.mp4,Static
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2036408_0111.mp4,Static
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2014248_0027.mp4,Motion
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2105055_0017.mp4,Push
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2008655_0037.mp4,Static
