video_name,tag,scale_label
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt0444850_0014.mp4,Static,CS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt0444850_0015.mp4,Static,CS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt0444850_0016.mp4,Static,ECS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2005173_0002.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2005173_0014.mp4,Static,CS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2005173_0022.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2005173_0042.mp4,Static,FS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2005185_0033.mp4,Static,CS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2005185_0057.mp4,Static,FS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006040_0002.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006040_0006.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006040_0052.mp4,Static,FS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006040_0054.mp4,Static,ECS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006802_0010.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006802_0011.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006810_0004.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006810_0008.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006810_0027.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2006810_0038.mp4,Static,FS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2007421_0042.mp4,Static,ECS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2008513_0012.mp4,Static,ECS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2008513_0025.mp4,Static,ECS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2008513_0033.mp4,Static,CS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2008513_0044.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2008513_0045.mp4,Static,FS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2008655_0024.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2008655_0037.mp4,Static,CS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2008655_0043.mp4,Static,CS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2008655_0044.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2008655_0065.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2008655_0072.mp4,Static,FS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2010939_0015.mp4,Static,ECS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2011138_0006.mp4,Static,ECS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2011159_0076.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2011159_0106.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2011300_0004.mp4,Static,CS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2011300_0010.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2011300_0026.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2011300_0051.mp4,Static,CS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2011953_0008.mp4,Static,ECS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2011961_0009.mp4,Static,FS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2011961_0066.mp4,Static,FS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2011961_0078.mp4,Static,LS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2011961_0083.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2012011_0007.mp4,Static,ECS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2012011_0021.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2012011_0026.mp4,Static,ECS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2012011_0028.mp4,Static,LS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2012011_0033.mp4,Static,ECS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2012011_0046.mp4,Static,LS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2012011_0053.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2012665_0010.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2012665_0039.mp4,Static,LS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2012665_0044.mp4,Static,CS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2012665_0071.mp4,Static,FS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2012665_0083.mp4,Static,ECS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2014225_0005.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2014225_0012.mp4,Static,ECS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2014225_0021.mp4,Static,ECS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2014225_0043.mp4,Static,ECS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2014248_0021.mp4,Static,FS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2014266_0002.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2014266_0019.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2014266_0038.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2014266_0050.mp4,Static,FS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2014266_0053.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2014319_0030.mp4,Static,FS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2014338_0011.mp4,Static,FS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2015366_0009.mp4,Static,ECS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2015366_0036.mp4,Static,ECS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2015370_0022.mp4,Static,ECS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2015370_0049.mp4,Static,CS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2015370_0054.mp4,Static,FS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2015370_0072.mp4,Static,FS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2015370_0089.mp4,Static,ECS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2015474_0005.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2015474_0007.mp4,Static,MS
/home/app/src/data/shot-type-dataset/trailer_v3/train/shot_tt2015474_0012.mp4,Static,LS
